Company,Change
Info Edge (India),-79.09
Aditya Birla Fashion,-67.61
Ami Organics,-46.96
Protean eGov Techno,-32.12
Lloyds Engineering,-26.13
Navkar Urbanstructur,-75.09
Bharat Global Develo,-65.91
DRC Systems India,-28.29
KBC Global,-26.53
Ksolves India,-25.75
